visit_date,waterpoint_name,waterpoint_type,latitude,longitude,govt_staff_available,committee_permission,functionality_survey,status_changed,photo_waterpoint,water_available,latrines_within_50m,cemetery_within_50m,waste_within_50m,river_within_50m,lake_within_50m,flood_area,difficult_access,flowrate_possible,flowrate_seconds,strokes_to_discharge,water_available_today,reason_no_water,seasonal_variation,when_no_water,pumphead_disassemble,reason_no_disassemble,reason_no_disassemble_other,install_date,borehole_age,pump_manufacturer,pump_manufacturer_other,drilling_contractor,install_depth,static_water_level,pumping_test_info,drilling_report_info,water_quality_info,repaired_before,repair_attempts,borehole_issues,borehole_issues_other,operational_feel,operational_feel_other,parts_for_repair,photo_parts
2/11/2020,Mtalika,Borehole or tubewell,-15.7753442,35.2446739,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/324f876404e84030a8272212675140be,Yes,Yes,No,No,No,No,No,No,Yes,61.951,2,Yes,NA,No,NA,Yes,NA,NA,5/26/2016,4,Apex International,NA,China Ghasu,46,212,Yes,Yes,Yes,Yes,More than twice,Other,Wornout parts such as centralisers,Significant friction (very stiff) at all times,NA,Centralisers,https://api.mwater.co/v3/images/b38a825c7373405b8db56fbcf9de9e0a; https://api.mwater.co/v3/images/eab8bfea2bfa4ff784d5d2e160b42352
2/11/2020,Nakhule 2 borehole,Borehole or tubewell,-15.68345,35.2359875,Yes,Yes,No,NA,https://api.mwater.co/v3/images/27c527f30bf64298840f9977f164cbd7,Yes,Yes,No,No,No,No,No,No,Yes,60.682,1,Yes,NA,No,NA,No,The handpump is locked,NA,1/27/2015,5,AOV International,NA,KCL,NA,NA,No,No,No,Yes,Countless times,Other,No any other issues,Normal/satisfactory,NA,NA,https://api.mwater.co/v3/images/10865dd0368d4115b21c55aeed3f17d6
2/11/2020,Mtulumbwa borehole,Borehole or tubewell,-15.7696928,35.2213983,Yes,Yes,Yes,Yes,https://api.mwater.co/v3/images/423492a32db34b0ba9b824a57d83668a,Yes,No,No,No,No,No,No,No,Yes,59.991,6,Yes,NA,No,NA,Yes,NA,NA,10/31/2016,6,Apex International,NA,KCL,45,189,Yes,Yes,Yes,Yes,More than twice,Other,"Wornout parts such as rod centilizers, fulcrum and bush bearing",Normal/satisfactory,NA,"Bush Bearings, Centralisers, Fulcrum Pin",https://api.mwater.co/v3/images/59e5a70c3e574e7981beb65d8e4585e0; https://api.mwater.co/v3/images/e6dad3c9f57b45108c76011200cfbf0c; https://api.mwater.co/v3/images/c3908d07b58742c793cb0bd997b20f3c
2/11/2020,Kadewere3 borehole,Borehole or tubewell,-15.6962037,35.2328238,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/9dc8d6ac3d0f4e0db6f1acf28136040f,Yes,Yes,No,Yes,No,No,No,No,Yes,60.789,1,Yes,NA,No,NA,Yes,NA,NA,9/3/2013,7,Could Not Determine (No plaque available),NA,China Gatsu,NA,285,No,No,No,Yes,Countless times,Other,No any other issues,Normal/satisfactory,NA,"Centralisers, Civil works",https://api.mwater.co/v3/images/fe2a6fd08a064f39aadf7ba6021fa364; https://api.mwater.co/v3/images/04c814b814ad41eb9a8f2885eeac655d
2/11/2020,Likalawe borehole 2,Borehole or tubewell,-15.7700678,35.2192041,Yes,Yes,Yes,Yes,https://api.mwater.co/v3/images/3607635b5df14d8e887a779b694a8633,No,No,No,No,No,No,No,No,NA,NA,NA,No,Pipeline blockage / breakage,No,NA,Yes,NA,NA,9/27/2014,6,Other,ESS,Drill Tech,39,241,Yes,Yes,Yes,Yes,More than 4 times,Other,It's not fuctional due to pipe blockage,Other,The handle has been removed and kept safe until it is mainted again,"Pipe, Bush Bearings, Centralisers",NA
2/11/2020,Noniwa2,Borehole or tubewell,-15.7086783,35.2276719,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/cc505c29b3d04d138494063e225d79c4,Yes,Yes,No,No,No,No,No,No,Yes,62.562,1,Yes,NA,No,NA,No,The handpump is locked,NA,2/10/2014,6,AOV International,NA,KCL,NA,NA,No,No,No,No,Not even once,Other,Lack of preventive maintenance Bush bearing not ok,Significant sideways movement on handle (loose/wobbly),NA,NA,https://api.mwater.co/v3/images/aa423ca1e96a4d80a6348b87ed952f04
2/11/2020,Pemba borehole,Borehole or tubewell,-15.7775867,35.1965383,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/9d677cd20ae948a18c0dc5f410665311,Yes,No,No,No,No,No,No,No,Yes,59.494,5,Yes,NA,No,NA,No,The handpump is locked,NA,10/31/2014,6,NA,NA,ESS,40,NA,Yes,Yes,Yes,Yes,More than 4 times,Other,Wornout parts such as bush bearings and centralisers,Significant sideways movement on handle (loose/wobbly),NA,NA,NA
2/11/2020,Chimpere borehole,Borehole or tubewell,-15.7724534,35.1960503,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/39e2d482dad643a88157088fa74317f3,Yes,No,No,No,No,No,No,No,Yes,87.673,32,Yes,NA,No,NA,Yes,NA,NA,9/13/2013,7,Ajay,NA,China Gansu,40,279,Yes,Yes,Yes,Yes,More than twice,Other,Wornout parts such as centralisers,Significant sideways movement on handle (loose/wobbly),NA,"Centralisers, Plunger",https://api.mwater.co/v3/images/a0b7a4b0a12d4624bc8710f156ccfc9a
2/11/2020,Kanyenda borehole 4,Borehole or tubewell,-15.7121638,35.2604817,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/9c19c1606b4f4138922dd2fb70b67111,Yes,No,No,No,No,No,No,No,Yes,53.76,3,Yes,NA,No,NA,No,The handpump is locked,NA,1/22/2015,5,AOV International,NA,Mozagua,46,NA,Yes,Yes,Yes,Yes,More than twice,Not enough water to meet 250 people demand,NA,Other,Wornout rods,NA,NA
2/12/2020,Nanlaku borehole,Borehole or tubewell,-15.7117164,35.2468402,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/a94d38cb819c41ca8a388d7d5aa7a901,No,No,No,No,No,No,No,No,NA,NA,NA,No,Vandalism,No,NA,Yes,NA,NA,10/31/2014,6,Could Not Determine (No plaque available),NA,KCL,46,2.78,No,No,No,Yes,Countless times,Other,No any other issues,Other,No handle available,"Fulcrum Pin, Pump Head, Bush Bearings, Hanger Pin, Centralisers",https://api.mwater.co/v3/images/9320f5140d4c418cbf10b481de4c5e32
